latitude,longitude,name,state,zip
41.7068,-72.5745,Glastonbury Animal Control,CT,6033
41.7068,-72.5745,We Adopt Greyhounds Inc.,CT,6033
41.7068,-72.5745,The Chi Society of CT,CT,6033
41.8771,-72.8206,Odies Orchard Hill Rescue,CT,6070
41.3613,-71.976,CT Animal House Inc.,CT,6355
44.5426,-72.4542,Justice For Dogs,VT,5680
41.7476,-72.6959,"Ferret Association of Connecticut, Inc",CT,6106
42.9526,-73.434,HeartsHerd Animal Sanctuary,NY,12028
41.3499,-72.0505,Friday's Rescue Foundation,CT,6340
41.5765,-72.504,Connecticut Draft Horse Rescue,CT,6424
41.7552,-72.7553,West Hartford Animal Control,CT,6107
41.7552,-72.7553,Addicus Legacy Dog Rescue,CT,6107
42.315,-73.2496,Northeast Pyr Rescue (NEPR),MA,1238
41.6601,-72.6614,Hearts United Cat Rescue,CT,6067
41.8338,-72.8924,Boot n' Kit Canine Rescue,CT,6019
41.8338,-72.8924,Dog Star Rescue,CT,6019
44.0244,-73.1717,Homeward Bound Animal Welfare Center,VT,5753
41.6886,-72.7308,Connecticut Humane Society - Newington,CT,6111
42.0212,-73.1041,Soul Mutts Rescue CT,CT,6021
41.7197,-72.8325,Emily's Friends,CT,6034
41.6659,-72.7706,City of New Britain CT Animal Control,CT,6051
41.9212,-73.0582,Save a Best Friend Animal Rescue,CT,6098
41.7499,-72.8896,Double Dog Rescue,CT,6085
41.3425,-72.2949,Old Lyme Animal Control,CT,6371
41.5486,-72.662,"Cat Tales, Inc.",CT,6457
41.5486,-72.662,"IMPS - Internet Miniature Pinscher Service, Inc. - New England  region",CT,6457
41.5486,-72.662,Wagging Tails Dog Rescue,CT,6457
41.6239,-72.7685,Hidden Treasures Adoption Center,CT,6037
42.7478,-73.5547,The Animal Support Project,NY,12052
41.7637,-72.9472,Burlington Municipal Dog Pound,CT,6013
43.3046,-73.5817,SPCA of Upstate New York,NY,12839
43.0936,-73.6009,Community Animal Action Project,NY,12871
41.6724,-72.8651,Plainville Animal Control,CT,6062
41.6724,-72.8651,Fur-Gotten Tails Animal Rescue,CT,6062
42.2103,-73.354,A Place For Us: Bonnie's Foster Home for Shelter Dogs,MA,1230
41.4613,-72.5767,Little Arfin' Acres,CT,6441
44.5774,-68.8014,Bucksport Animal Shelter,ME,4416
41.6816,-72.93,"Rescue Dog Village Guardian, Inc",CT,6010
41.6816,-72.93,Everybunny Counts,CT,6010
44.1653,-73.2546,New England Helps Greek Strays,VT,5491
44.3274,-73.1137,VT Dog Rescue,VT,5461
41.6105,-72.8701,Southington Animal Control,CT,6489
41.6105,-72.8701,Best Friends For Life Animal Rescue,CT,6489
41.6105,-72.8701,TOMcat Animal Rescue,CT,6489
41.6717,-72.9497,Friends of the Bristol CT Animal Shelter,CT,6011
41.7723,-73.0716,"Furry Friends Foster and Rescue, Inc.",CT,6791
41.8123,-73.117,Feline Friends,CT,6790
41.8123,-73.117,East Coast Humane Society,CT,6790
41.8123,-73.117,For the Love of Labs Rescue,CT,6790
41.8123,-73.117,Second Chance Boxer Rescue,CT,6790
41.8123,-73.117,Northwest Hills K9 Rescue,CT,6790
43.3303,-73.6747,F.A.C.T. (Fight Animal Cruelty Today),NY,12804
43.3303,-73.6747,Friends of Phoebie Animal Rescue Inc.,NY,12804
44.2408,-73.2236,Heidi's Haven Rescue,VT,5456
41.4579,-72.6786,Almost Home for Cats,CT,6422
41.4579,-72.6786,Nutts4Mutts,CT,6422
41.2944,-72.3958,Old Saybrook Animal Control,CT,6475
41.534,-72.7999,Meriden Animal Control/Saving Paws,CT,6450
41.534,-72.7999,New Beginnings and Forever Homes,CT,6450
43.1814,-73.6992,H.O.P.E,NY,12831
43.1814,-73.6992,11th Hour Canine Rescue New York,NY,12831
41.5381,-72.8075,Meriden Humane Society,CT,6451
41.5811,-72.8694,Animal Friends of Connecticut,CT,6137
41.3857,-72.5808,Labs4rescue,CT,6419
41.3857,-72.5808,Dachshund Rescue and Pet Services,CT,6419
42.7231,-73.6644,"Adopt-A-Pet Clinic, Inc.",NY,12180
41.6826,-73.0118,"Animal Rescue Foundation, Inc.",CT,6786
42.8024,-73.6957,Dog House Adoptions,NY,12188
44.9429,-72.2163,Pope Memorial Frontier Animal Shelter Inc.,VT,5855
41.3037,-72.4617,Valley Shore Animal Welfare League,CT,6498
42.7754,-73.712,Boght & Oakwood Veterinary Clinics,NY,12047
45.016667,-72.083333,Frontier Animal Society,QC,J0B 3E0
41.5636,-72.9261,Nile Valley Egyptian Foundation,CT,6444
44.4501,-73.1045,"All Breed Rescue, Inc.",VT,5495
44.4501,-73.1045,Vermont English Bulldog Rescue,VT,5495
42.187,-73.5019,Everlasting Hope Animal Rescue & Advocacy,NY,12529
42.5932,-73.6957,Northeast Avian Rescue,NY,12061
41.2899,-72.5286,"Forgotten Felines, Inc.",CT,6413
43.0791,-73.7806,Rottie Empire Rescue,NY,12866
41.46,-72.819,North Haven Animal Control,CT,6492
41.46,-72.819,CottonTail Rabbit Rescue,CT,6492
42.683,-73.7415,Help Orphan Puppies,NY,12204
44.2917,-73.3033,Champlain Valley Canine Rescue,VT,5445
44.3863,-73.2117,Passion 4 Paws,VT,5482
44.5215,-73.0609,Poodle Rescue of Vermont,VT,5451
